,district,price,age,newness,squaremeters
0, Beylikdüzü ,1700000,0 (Yeni),Sıfır,165 m2
1, Beylikdüzü ,2399999,0 (Yeni),Sıfır,115 m2
2, Beylikdüzü ,2865000,0 (Yeni),Sıfır,260 m2
3, Beylikdüzü ,899000,4,İkinci El,100 m2
4, Beylikdüzü ,1550000,0 (Yeni),Sıfır,105 m2
5, Beylikdüzü ,1250000,5-10,Sıfır,70 m2
6, Beylikdüzü ,22000000,0 (Yeni),Sıfır,450 m2
7, Güngören ,2200000,21 Ve Üzeri,130 m2,
8, Esenyurt ,1750000,4,İkinci El,130 m2
9, Gaziosmanpaşa ,125000000,5-10,85 m2,
10, Bahçelievler ,1200000,21 Ve Üzeri,İkinci El,100 m2
11, Küçükçekmece ,780000,21 Ve Üzeri,İkinci El,100 m2
12, Beylikdüzü ,2039999,0 (Yeni),Sıfır,97 m2
13, Beylikdüzü ,1699999,0 (Yeni),110 m2,Sıfır
14, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
15, Beylikdüzü ,1400000,5-10,Sıfır,100 m2
16, Beylikdüzü ,899000,4,Sıfır,100 m2
17, Beylikdüzü ,3389000,4,130 m2,
18, Bağcılar ,2000000,5-10,İkinci El,120 m2
19, Beylikdüzü ,1599999,0 (Yeni),Sıfır,105 m2
20, Beylikdüzü ,499000,0 (Yeni),Sıfır,130 m2
21, Beylikdüzü ,1149000,0 (Yeni),Sıfır,240 m2
22, Beylikdüzü ,950000,0 (Yeni),Sıfır,110 m2
23, Beylikdüzü ,769000,0 (Yeni),Sıfır,105 m2
24, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
25, Beylikdüzü ,899000,4,Sıfır,100 m2
26, Beylikdüzü ,2400000,11-15,İkinci El,145 m2
27, Beylikdüzü ,2580000,0 (Yeni),140 m2,
28, Beylikdüzü ,2450000,0 (Yeni),220 m2,
29, Beylikdüzü ,1700000,0 (Yeni),Sıfır,100 m2
30, Beylikdüzü ,1700000,0 (Yeni),Sıfır,165 m2
31, Beylikdüzü ,2399999,0 (Yeni),Sıfır,115 m2
32, Beylikdüzü ,2865000,0 (Yeni),Sıfır,260 m2
33, Beylikdüzü ,899000,4,İkinci El,100 m2
34, Beylikdüzü ,1550000,0 (Yeni),Sıfır,105 m2
35, Beylikdüzü ,1250000,5-10,Sıfır,70 m2
36, Beylikdüzü ,22000000,0 (Yeni),Sıfır,450 m2
37, Güngören ,2200000,21 Ve Üzeri,130 m2,
38, Esenyurt ,1750000,4,İkinci El,130 m2
39, Gaziosmanpaşa ,125000000,5-10,85 m2,
40, Bahçelievler ,1200000,21 Ve Üzeri,İkinci El,100 m2
41, Küçükçekmece ,780000,21 Ve Üzeri,İkinci El,100 m2
42, Beylikdüzü ,2039999,0 (Yeni),Sıfır,97 m2
43, Beylikdüzü ,1699999,0 (Yeni),110 m2,Sıfır
44, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
45, Beylikdüzü ,1400000,5-10,Sıfır,100 m2
46, Beylikdüzü ,899000,4,Sıfır,100 m2
47, Beylikdüzü ,3389000,4,130 m2,
48, Bağcılar ,2000000,5-10,İkinci El,120 m2
49, Beylikdüzü ,1599999,0 (Yeni),Sıfır,105 m2
50, Beylikdüzü ,499000,0 (Yeni),Sıfır,130 m2
51, Beylikdüzü ,1149000,0 (Yeni),Sıfır,240 m2
52, Beylikdüzü ,950000,0 (Yeni),Sıfır,110 m2
53, Beylikdüzü ,769000,0 (Yeni),Sıfır,105 m2
54, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
55, Beylikdüzü ,899000,4,Sıfır,100 m2
56, Beylikdüzü ,2400000,11-15,İkinci El,145 m2
57, Beylikdüzü ,2580000,0 (Yeni),140 m2,
58, Beylikdüzü ,2450000,0 (Yeni),220 m2,
59, Beylikdüzü ,1700000,0 (Yeni),Sıfır,100 m2
60, Beylikdüzü ,1600000,0 (Yeni),140 m2,
61, Beylikdüzü ,1397500,0 (Yeni),115 m2,
62, Başakşehir ,2229000,0 (Yeni),Sıfır,95 m2
63, Beylikdüzü ,699000,0 (Yeni),Sıfır,135 m2
64, Beylikdüzü ,865000,0 (Yeni),Sıfır,125 m2
65, Esenyurt ,660000,4,95 m2,
66, Kadıköy ,8000000,0 (Yeni),110 m2,
67, Beylikdüzü ,1390000,3,İkinci El,85 m2
68, Esenyurt ,690000,4,Sıfır,80 m2
69, Büyükçekmece ,5500000,21 Ve Üzeri,125 m2,
70, Silivri ,3000000,5-10,İkinci El,285 m2
71, Büyükçekmece ,10500000,21 Ve Üzeri,310 m2,
72, Büyükçekmece ,2000000,5-10,450 m2,
73, Büyükçekmece ,1150000,21 Ve Üzeri,80 m2,
74, Esenyurt ,1175000,5-10,135 m2,
75, Bakırköy ,3750000,21 Ve Üzeri,90 m2,
76, Büyükçekmece ,3199999,0 (Yeni),Sıfır,140 m2
77, Beylikdüzü ,6999999,0 (Yeni),Sıfır,400 m2
78, Zeytinburnu ,2250000,21 Ve Üzeri,120 m2,
79, Beylikdüzü ,815000,0 (Yeni),Sıfır,90 m2
80, Beylikdüzü ,2099999,0 (Yeni),95 m2,
81, Kadıköy ,10000000,21 Ve Üzeri,135 m2,
82, Beylikdüzü ,1900000,5-10,250 m2,İkinci El
83, Esenyurt ,599900,0 (Yeni),100 m2,
84, Beylikdüzü ,960000,0 (Yeni),100 m2,
85, Beylikdüzü ,2300000,0 (Yeni),Sıfır,140 m2
86, Beylikdüzü ,1400000,0 (Yeni),110 m2,
87, Beylikdüzü ,2500000,0 (Yeni),Sıfır,235 m2
88, Beylikdüzü ,1550000,0 (Yeni),100 m2,
89, Beylikdüzü ,2149000,0 (Yeni),100 m2,
90, Beylikdüzü ,5850000,0 (Yeni),Sıfır,350 m2
91, Beylikdüzü ,509000,0 (Yeni),Sıfır,110 m2
92, Beylikdüzü ,2400000,4,135 m2,
93, Silivri ,1499000,21 Ve Üzeri,125 m2,
94, Esenyurt ,1600000,4,100 m2,
95, Bahçelievler ,1260000,21 Ve Üzeri,İkinci El,75 m2
96, Silivri ,8200000,0 (Yeni),Sıfır,310 m2
97, Beylikdüzü ,899000,0 (Yeni),Sıfır,95 m2
98, Esenyurt ,1250000,0 (Yeni),120 m2,
99, Beylikdüzü ,1285000,0 (Yeni),Sıfır,110 m2
100, Beylikdüzü ,929000,0 (Yeni),95 m2,
101, Beylikdüzü ,699999,0 (Yeni),Sıfır,165 m2
102, Sultangazi ,1799000,0 (Yeni),İkinci El,170 m2
103, Sultangazi ,815000,5-10,İkinci El,85 m2
104, Bahçelievler ,1450000,21 Ve Üzeri,120 m2,
105, Bahçelievler ,1535000,5-10,80 m2,
106, Esenyurt ,1140000,1,Sıfır,68 m2
107, Küçükçekmece ,1250000,5-10,80 m2,
108, Beylikdüzü ,1699000,0 (Yeni),100 m2,
109, Gaziosmanpaşa ,1250000,5-10,İkinci El,95 m2
110, Bahçelievler ,1100000,21 Ve Üzeri,İkinci El,80 m2
111, Esenyurt ,650000,0 (Yeni),80 m2,
112, Bakırköy ,2250000,5-10,75 m2,
113, Kartal ,1320000,16-20,135 m2,
114, Sultanbeyli ,1375000,3,70 m2,
115, Beylikdüzü ,1399999,0 (Yeni),Sıfır,95 m2
116, Kartal ,1425000,0 (Yeni),75 m2,
117, Beylikdüzü ,1200000,5-10,İkinci El,100 m2
118, Beylikdüzü ,899000,4,Sıfır,110 m2
119, Beylikdüzü ,2395000,0 (Yeni),Sıfır,200 m2
120, Beylikdüzü ,929000,4,Sıfır,100 m2
121, Beylikdüzü ,920000,0 (Yeni),Sıfır,100 m2
122, Beylikdüzü ,775000,0 (Yeni),Sıfır,100 m2
123, Beylikdüzü ,1825000,0 (Yeni),Sıfır,150 m2
124, Beylikdüzü ,2699999,0 (Yeni),Sıfır,200 m2
125, Beylikdüzü ,495000,0 (Yeni),Sıfır,120 m2
126, Beylikdüzü ,799000,0 (Yeni),Sıfır,75 m2
127, Esenyurt ,639000,4,İkinci El,95 m2
128, Esenyurt ,839000,4,Sıfır,95 m2
129, Fatih ,1850000,21 Ve Üzeri,125 m2,
130, Esenyurt ,1080000,5-10,İkinci El,90 m2
131, Beylikdüzü ,835000,3,Sıfır,135 m2
132, Esenyurt ,1200000,0 (Yeni),Sıfır,90 m2
133, Beylikdüzü ,15750000,0 (Yeni),Sıfır,400 m2
134, Beylikdüzü ,2550000,0 (Yeni),100 m2,
135, Büyükçekmece ,16500000,0 (Yeni),155 m2,
136, Büyükçekmece ,3750000,5-10,İkinci El,150 m2
137, Beylikdüzü ,1850000,5-10,İkinci El,110 m2
138, Esenyurt ,799000,0 (Yeni),Sıfır,90 m2
139, Beylikdüzü ,4449000,0 (Yeni),Sıfır,200 m2
140, Esenyurt ,880000,0 (Yeni),85 m2,Sıfır
141, Avcılar ,1165000,2,Sıfır,120 m2
142, Maltepe ,1295000,5-10,70 m2,
143, Beylikdüzü ,2150000,1,140 m2,
144, Beylikdüzü ,2220000,0 (Yeni),Sıfır,135 m2
145, Beylikdüzü ,2300000,0 (Yeni),145 m2,
146, Beylikdüzü ,1450000,3,100 m2,
147, Esenyurt ,890000,0 (Yeni),Sıfır,100 m2
148, Bakırköy ,13500000,21 Ve Üzeri,250 m2,
149, Silivri ,8000000,0 (Yeni),Sıfır,160 m2
150, Maltepe ,10750000,5-10,200 m2,İkinci El
151, Esenyurt ,1900000,5-10,Sıfır,115 m2
152, Esenyurt ,580000,4,Sıfır,100 m2
153, Esenyurt ,1130000,5-10,İkinci El,135 m2
154, Esenyurt ,939000,4,İkinci El,130 m2
155, Esenyurt ,975000,5-10,İkinci El,105 m2
156, Esenyurt ,769000,5-10,İkinci El,120 m2
157, Fatih ,1080000,21 Ve Üzeri,70 m2,
158, Esenyurt ,819000,5-10,100 m2,Sıfır
159, Esenyurt ,960000,5-10,İkinci El,85 m2
160, Esenyurt ,995000,5-10,İkinci El,85 m2
161, Esenyurt ,995000,5-10,İkinci El,90 m2
162, Esenyurt ,980000,4,100 m2,
163, Esenyurt ,719000,5-10,İkinci El,75 m2
164, Esenyurt ,1100000,5-10,İkinci El,140 m2
165, Esenyurt ,940000,5-10,İkinci El,110 m2
166, Bahçelievler ,785000,21 Ve Üzeri,65 m2,
167, Esenyurt ,659000,3,İkinci El,75 m2
168, Arnavutköy ,12250000,0 (Yeni),Sıfır,250 m2
169, Bahçelievler ,5250000,21 Ve Üzeri,500 m2,İkinci El
170, Esenyurt ,1300000,5-10,İkinci El,125 m2
171, Bahçelievler ,1370000,21 Ve Üzeri,100 m2,
172, Beylikdüzü ,729000,0 (Yeni),Sıfır,95 m2
173, Beylikdüzü ,989000,0 (Yeni),Sıfır,130 m2
174, Beylikdüzü ,659000,0 (Yeni),Sıfır,130 m2
175, Esenyurt ,900000,5-10,İkinci El,110 m2
176, Bakırköy ,1900000,16-20,İkinci El,65 m2
177, Beylikdüzü ,1349000,0 (Yeni),Sıfır,90 m2
178, Beylikdüzü ,1280000,0 (Yeni),90 m2,
179, Beylikdüzü ,1400000,5-10,Sıfır,100 m2
180, Esenyurt ,678000,5-10,95 m2,
181, Beylikdüzü ,1475000,4,İkinci El,100 m2
182, Beylikdüzü ,915000,0 (Yeni),Sıfır,110 m2
183, Kadıköy ,3250000,21 Ve Üzeri,75 m2,
184, Beylikdüzü ,1129000,0 (Yeni),Sıfır,125 m2
185, Esenyurt ,1190000,5-10,İkinci El,85 m2
186, Esenyurt ,1140000,4,İkinci El,110 m2
187, Güngören ,850000,21 Ve Üzeri,İkinci El,90 m2
188, Esenyurt ,1589000,4,120 m2,
189, Beylikdüzü ,865000,0 (Yeni),Sıfır,100 m2
190, Esenyurt ,1520000,5-10,200 m2,
191, Esenyurt ,799000,0 (Yeni),Sıfır,105 m2
192, Beylikdüzü ,2350000,0 (Yeni),120 m2,
193, Beylikdüzü ,2550000,0 (Yeni),Sıfır,100 m2
194, Beylikdüzü ,2759999,0 (Yeni),130 m2,
195, Beylikdüzü ,3399999,0 (Yeni),220 m2,
196, Beylikdüzü ,3199999,0 (Yeni),Sıfır,200 m2
197, Zeytinburnu ,1450000,21 Ve Üzeri,80 m2,
198, Beylikdüzü ,929000,4,Sıfır,100 m2
199, Beylikdüzü ,1139000,4,Sıfır,100 m2
200, Beylikdüzü ,2350000,0 (Yeni),150 m2,
201, Beylikdüzü ,5400000,16-20,230 m2,
202, Beylikdüzü ,2039999,0 (Yeni),97 m2,
203, Beylikdüzü ,18700000,0 (Yeni),Sıfır,385 m2
204, Kadıköy ,6850000,21 Ve Üzeri,130 m2,
205, Kadıköy ,4300000,21 Ve Üzeri,150 m2,
206, Kadıköy ,10750000,4,100 m2,
207, Kadıköy ,15950000,0 (Yeni),110 m2,
208, Kadıköy ,10250000,21 Ve Üzeri,150 m2,
209, Kadıköy ,5050000,3,75 m2,
210, Kadıköy ,22500000,1,230 m2,
211, Kadıköy ,24500000,0 (Yeni),295 m2,
212, Kadıköy ,10100000,3,180 m2,
213, Kadıköy ,8450000,3,105 m2,
214, Silivri ,950000,21 Ve Üzeri,İkinci El,135 m2
215, Avcılar ,2310000,0 (Yeni),Sıfır,125 m2
216, Kadıköy ,24950000,0 (Yeni),210 m2,
217, Bahçelievler ,2950000,0 (Yeni),130 m2,
218, Bayrampaşa ,1400000,0 (Yeni),60 m2,
219, Esenyurt ,1225000,0 (Yeni),Sıfır,125 m2
220, Bahçelievler ,1180000,21 Ve Üzeri,İkinci El,90 m2
221, Büyükçekmece ,2700000,0 (Yeni),145 m2,
222, Esenyurt ,1699000,0 (Yeni),Sıfır,100 m2
223, Kadıköy ,5950000,21 Ve Üzeri,80 m2,
224, Silivri ,1800000,16-20,İkinci El,250 m2
225, Silivri ,1100000,16-20,İkinci El,125 m2
226, Silivri ,4500000,11-15,İkinci El,800 m2
227, Kadıköy ,7850000,4,125 m2,
228, Silivri ,2200000,11-15,İkinci El,115 m2
229, Beylikdüzü ,2150000,0 (Yeni),Sıfır,100 m2
230, Bahçelievler ,1100000,21 Ve Üzeri,95 m2,
231, Kadıköy ,18500000,0 (Yeni),182 m2,
232, Beylikdüzü ,2350000,0 (Yeni),Sıfır,200 m2
233, Beylikdüzü ,1990000,0 (Yeni),Sıfır,85 m2
234, Kadıköy ,2095000,21 Ve Üzeri,55 m2,
235, Kadıköy ,4250000,21 Ve Üzeri,İkinci El,100 m2
236, Beylikdüzü ,2899999,0 (Yeni),220 m2,
237, Beylikdüzü ,2550000,0 (Yeni),130 m2,
238, Beylikdüzü ,1629999,2,Sıfır,85 m2
239, Beylikdüzü ,1629000,4,İkinci El,90 m2
240, Esenyurt ,1300000,4,İkinci El,60 m2
241, Bakırköy ,7000000,2,İkinci El,88 m2
242, Kadıköy ,7750000,5-10,96 m2,
243, Beylikdüzü ,1589999,0 (Yeni),95 m2,
244, Beylikdüzü ,2249999,0 (Yeni),100 m2,
245, Kadıköy ,4750000,0 (Yeni),92 m2,
246, Beylikdüzü ,2199999,4,Sıfır,200 m2
247, Bakırköy ,4150000,0 (Yeni),Sıfır,75 m2
248, Bahçelievler ,1450000,0 (Yeni),Sıfır,90 m2
249, Kadıköy ,14500000,5-10,İkinci El,135 m2
250, Beylikdüzü ,558000,0 (Yeni),Sıfır,110 m2
251, Esenyurt ,890000,4,İkinci El,90 m2
252, Küçükçekmece ,2500000,0 (Yeni),Sıfır,160 m2
253, Esenyurt ,1400000,3,İkinci El,100 m2
254, Bahçelievler ,1450000,0 (Yeni),1 m2,
255, Silivri ,950000,21 Ve Üzeri,İkinci El,130 m2
256, Bayrampaşa ,1900000,3,İkinci El,85 m2
257, Beylikdüzü ,549000,5-10,85 m2,
258, Beylikdüzü ,790000,4,Sıfır,85 m2
259, Ümraniye ,2750000,11-15,İkinci El,80 m2
260, Bahçelievler ,1960000,2,140 m2,
261, Bahçelievler ,1850000,0 (Yeni),85 m2,
262, Bayrampaşa ,1900000,3,İkinci El,85 m2
263, Başakşehir ,100000,0 (Yeni),90 m2,
264, Pendik ,1300000,2,75 m2,
265, Beylikdüzü ,1859000,4,Sıfır,150 m2
266, Silivri ,3850000,11-15,İkinci El,100 m2
267, Beylikdüzü ,1650000,4,Sıfır,100 m2
268, Beylikdüzü ,1600000,2,Sıfır,100 m2
269, Beylikdüzü ,1250000,5-10,Sıfır,60 m2
270, Beylikdüzü ,1475000,4,Sıfır,100 m2
271, Büyükçekmece ,1550000,5-10,100 m2,
272, Beylikdüzü ,2375000,5-10,135 m2,
273, Bahçelievler ,1380000,11-15,Sıfır,80 m2
274, Esenyurt ,900000,5-10,İkinci El,90 m2
275, Küçükçekmece ,1900000,0 (Yeni),Sıfır,75 m2
276, Beylikdüzü ,3750000,0 (Yeni),150 m2,
277, Beylikdüzü ,2500000,0 (Yeni),90 m2,
278, Beylikdüzü ,929900,0 (Yeni),Sıfır,105 m2
279, Beylikdüzü ,1149000,0 (Yeni),Sıfır,150 m2
280, Esenyurt ,1150000,4,120 m2,
281, Beylikdüzü ,2500000,0 (Yeni),Sıfır,135 m2
282, Esenyurt ,1270000,5-10,İkinci El,110 m2
283, Bahçelievler ,5600000,4,İkinci El,110 m2
284, Beylikdüzü ,1550000,0 (Yeni),Sıfır,105 m2
285, Beylikdüzü ,1400000,5-10,İkinci El,120 m2
286, Beylikdüzü ,1600000,5-10,İkinci El,120 m2
287, Kartal ,1249000,16-20,İkinci El,110 m2
288, Gaziosmanpaşa ,1750000,0 (Yeni),Sıfır,80 m2
289, Esenyurt ,720000,0 (Yeni),95 m2,
290, Çatalca ,150000,0 (Yeni),56 m2,
291, Beylikdüzü ,950000,4,İkinci El,80 m2
292, Sultangazi ,1375000,21 Ve Üzeri,125 m2,
293, Küçükçekmece ,1850000,5-10,80 m2,
294, Esenyurt ,990000,4,45 m2,
295, Üsküdar ,1675000,21 Ve Üzeri,70 m2,
296, Bahçelievler ,930000,21 Ve Üzeri,İkinci El,80 m2
297, Sultangazi ,1625000,0 (Yeni),90 m2,
298, Şişli ,9000000,5-10,Sıfır,130 m2
299, Sultangazi ,2600000,4,İkinci El,175 m2
300, Avcılar ,2449000,11-15,170 m2,
301, Sultangazi ,810000,5-10,İkinci El,85 m2
302, Beyoğlu ,1400000,21 Ve Üzeri,İkinci El,80 m2
303, Bağcılar ,2350000,11-15,105 m2,
304, Avcılar ,1300000,5-10,Sıfır,85 m2
305, Beylikdüzü ,990000,5-10,90 m2,
306, Küçükçekmece ,1700000,21 Ve Üzeri,92 m2,Yapım Aşamasında
307, Ataşehir ,1550000,2,45 m2,İkinci El
308, Ataşehir ,1575000,0 (Yeni),50 m2,Sıfır
309, Beyoğlu ,1250000,0 (Yeni),İkinci El,80 m2
310, Büyükçekmece ,2329000,5-10,170 m2,
311, Beyoğlu ,1575000,1,Sıfır,60 m2
312, Küçükçekmece ,3075000,4,200 m2,
313, Sancaktepe ,2000000,0 (Yeni),78 m2,
314, Güngören ,1300000,21 Ve Üzeri,İkinci El,85 m2
315, Beylikdüzü ,1500000,4,100 m2,
316, Avcılar ,2890000,5-10,180 m2,İkinci El
317, Bağcılar ,1150000,21 Ve Üzeri,İkinci El,105 m2
318, Kartal ,1665000,5-10,İkinci El,49 m2
319, Esenyurt ,669000,4,Sıfır,85 m2
320, Beylikdüzü ,1875000,5-10,Sıfır,130 m2
321, Büyükçekmece ,9500000,0 (Yeni),Sıfır,500 m2
322, Büyükçekmece ,14000000,0 (Yeni),400 m2,
323, Beylikdüzü ,2550000,0 (Yeni),110 m2,
324, Pendik ,985000,16-20,120 m2,
325, Esenyurt ,670000,4,85 m2,
326, Esenyurt ,995000,3,90 m2,
327, Küçükçekmece ,2875000,0 (Yeni),Sıfır,135 m2
328, Esenyurt ,1400000,5-10,140 m2,
329, Esenyurt ,699000,4,85 m2,
330, Beylikdüzü ,1050000,0 (Yeni),85 m2,
331, Maltepe ,1900000,0 (Yeni),75 m2,
332, Maltepe ,1075000,4,İkinci El,65 m2
333, Küçükçekmece ,690000,21 Ve Üzeri,İkinci El,85 m2
334, Avcılar ,2450000,11-15,Sıfır,170 m2
335, Kağıthane ,3000000,5-10,İkinci El,130 m2
336, Bahçelievler ,920000,21 Ve Üzeri,100 m2,
337, Maltepe ,1100000,5-10,85 m2,
338, Zeytinburnu ,1150000,4,65 m2,
339, Bahçelievler ,1270000,11-15,1 m2,İkinci El
340, Esenyurt ,2720000,21 Ve Üzeri,İkinci El,140 m2
341, Esenyurt ,800000,5-10,İkinci El,160 m2
342, Beylikdüzü ,1649000,0 (Yeni),Sıfır,80 m2
343, Bağcılar ,1650000,5-10,İkinci El,95 m2
344, Üsküdar ,4500000,21 Ve Üzeri,115 m2,İkinci El
345, Eyüpsultan ,1510000,21 Ve Üzeri,İkinci El,110 m2
346, Maltepe ,1120000,4,80 m2,
347, Beylikdüzü ,2250000,4,Sıfır,225 m2
348, Pendik ,1750000,4,72 m2,
349, Silivri ,2650000,5-10,İkinci El,230 m2
350, Bağcılar ,900000,21 Ve Üzeri,İkinci El,85 m2
351, Bağcılar ,1570000,11-15,İkinci El,85 m2
352, Beylikdüzü ,1139000,4,İkinci El,100 m2
353, Beylikdüzü ,899000,4,İkinci El,100 m2
354, Beylikdüzü ,929000,4,İkinci El,100 m2
355, Esenyurt ,1170000,1,Sıfır,100 m2
356, Esenyurt ,915000,5-10,İkinci El,90 m2
357, Maltepe ,2000000,1,Sıfır,70 m2
358, Avcılar ,3100000,16-20,120 m2,
359, Sarıyer ,4000000,21 Ve Üzeri,110 m2,İkinci El
360, Sarıyer ,2750000,21 Ve Üzeri,85 m2,
361, Bahçelievler ,1395000,21 Ve Üzeri,120 m2,
362, Bahçelievler ,720000,21 Ve Üzeri,70 m2,
363, Sultanbeyli ,2150000,0 (Yeni),90 m2,
364, Eyüpsultan ,2150000,21 Ve Üzeri,İkinci El,85 m2
365, Esenyurt ,799000,4,Sıfır,100 m2
366, Esenyurt ,725000,4,Sıfır,110 m2
367, Maltepe ,2450000,1,İkinci El,80 m2
368, Beylikdüzü ,1590000,0 (Yeni),95 m2,
369, Bahçelievler ,3100000,0 (Yeni),Sıfır,110 m2
370, Beylikdüzü ,744000,2,85 m2,
371, Beylikdüzü ,1850000,0 (Yeni),175 m2,
372, Esenyurt ,715000,5-10,İkinci El,95 m2
373, Zeytinburnu ,1270000,21 Ve Üzeri,88 m2,
374, Zeytinburnu ,1475000,16-20,85 m2,
375, Esenyurt ,830000,5-10,İkinci El,70 m2
376, Esenyurt ,1350000,4,İkinci El,90 m2
377, Maltepe ,3850000,5-10,İkinci El,145 m2
378, Maltepe ,2155000,0 (Yeni),160 m2,
379, Esenyurt ,735000,4,Sıfır,100 m2
380, Esenyurt ,1320000,0 (Yeni),Sıfır,105 m2
381, Esenyurt ,790000,5-10,Sıfır,100 m2
382, Sancaktepe ,825000,4,80 m2,
383, Esenyurt ,799000,3,80 m2,İkinci El
384, Bahçelievler ,1100000,21 Ve Üzeri,95 m2,
385, Silivri ,1565000,1,Sıfır,95 m2
386, Fatih ,1550000,21 Ve Üzeri,İkinci El,75 m2
387, Fatih ,1250000,21 Ve Üzeri,İkinci El,100 m2
388, Esenyurt ,765000,2,İkinci El,75 m2
389, Esenyurt ,1700000,5-10,100 m2,
390, Pendik ,730000,21 Ve Üzeri,85 m2,
391, Pendik ,1560000,0 (Yeni),90 m2,
392, Eyüpsultan ,14000000,0 (Yeni),Sıfır,320 m2
393, Küçükçekmece ,150000,0 (Yeni),56 m2,
394, Silivri ,300000,0 (Yeni),95 m2,
395, Esenyurt ,1400000,5-10,Sıfır,100 m2
396, Esenyurt ,869000,5-10,Sıfır,80 m2
397, Esenyurt ,1040000,5-10,Sıfır,90 m2
398, Esenyurt ,540000,4,Sıfır,90 m2
399, Esenyurt ,639000,5-10,Sıfır,75 m2
400, Esenyurt ,889000,4,Sıfır,100 m2
401, Esenyurt ,889000,5-10,İkinci El,110 m2
402, Küçükçekmece ,725000,21 Ve Üzeri,120 m2,
403, Pendik ,2480000,4,İkinci El,120 m2
404, Başakşehir ,2550000,16-20,İkinci El,125 m2
405, Beşiktaş ,2750000,21 Ve Üzeri,60 m2,
406, Maltepe ,1600999,3,105 m2,
407, Maltepe ,1300000,16-20,90 m2,
408, Bayrampaşa ,1620000,0 (Yeni),70 m2,
409, Bağcılar ,4750000,0 (Yeni),Sıfır,115 m2
410, Beylikdüzü ,2800000,11-15,İkinci El,181 m2
411, Esenyurt ,929000,4,120 m2,
412, Esenyurt ,999000,4,Sıfır,90 m2
413, Esenyurt ,1069000,5-10,Sıfır,110 m2
414, Esenyurt ,1069000,4,İkinci El,105 m2
415, Silivri ,585000,0 (Yeni),60 m2,Sıfır
416, Bağcılar ,2850000,5-10,65 m2,
417, Beylikdüzü ,2900000,5-10,Sıfır,110 m2
418, Kadıköy ,6750000,21 Ve Üzeri,İkinci El,107 m2
419, Bahçelievler ,1650000,21 Ve Üzeri,İkinci El,115 m2
420, Ataşehir ,2600000,4,85 m2,
421, Silivri ,2100000,21 Ve Üzeri,295 m2,
422, Silivri ,850000,21 Ve Üzeri,75 m2,
423, Avcılar ,1520000,0 (Yeni),62 m2,
424, Beylikdüzü ,599000,3,İkinci El,90 m2
425, Bayrampaşa ,2400000,3,İkinci El,90 m2
426, Ümraniye ,1825000,5-10,İkinci El,90 m2
427, Maltepe ,2250000,5-10,İkinci El,70 m2
428, Beylikdüzü ,1450000,0 (Yeni),Sıfır,80 m2
429, Gaziosmanpaşa ,650000,11-15,60 m2,
430, Bağcılar ,3250000,11-15,İkinci El,115 m2
431, Beylikdüzü ,795000,5-10,İkinci El,75 m2
432, Sarıyer ,2100000,16-20,İkinci El,115 m2
433, Beşiktaş ,4150000,21 Ve Üzeri,92 m2,
434, Silivri ,4400000,5-10,150 m2,
435, Sultangazi ,1550000,0 (Yeni),Sıfır,95 m2
436, Eyüpsultan ,900000,11-15,İkinci El,70 m2
437, Küçükçekmece ,1450000,21 Ve Üzeri,İkinci El,85 m2
438, Büyükçekmece ,4450000,0 (Yeni),120 m2,
439, Zeytinburnu ,2300000,4,43 m2,
440, Esenyurt ,1499000,0 (Yeni),Sıfır,100 m2
441, Kadıköy ,3495000,21 Ve Üzeri,100 m2,
442, Kartal ,2290000,0 (Yeni),Sıfır,75 m2
443, Fatih ,1100000,0 (Yeni),Yapım Aşamasında,78 m2
444, Bahçelievler ,3900000,0 (Yeni),Sıfır,80 m2
445, Esenyurt ,729000,5-10,İkinci El,120 m2
446, Sultangazi ,875000,11-15,90 m2,
447, Şişli ,3100000,5-10,İkinci El,130 m2
448, Beylikdüzü ,3050000,0 (Yeni),Sıfır,110 m2
449, Beylikdüzü ,2300000,21 Ve Üzeri,120 m2,İkinci El
450, Esenyurt ,560000,4,İkinci El,110 m2
451, Esenyurt ,810000,3,İkinci El,110 m2
452, Bahçelievler ,800000,21 Ve Üzeri,80 m2,
453, Gaziosmanpaşa ,1350000,5-10,İkinci El,85 m2
454, Beylikdüzü ,1100000,4,İkinci El,80 m2
455, Şişli ,4100000,21 Ve Üzeri,90 m2,
456, Beşiktaş ,4600000,5-10,117 m2,
457, Esenyurt ,1230000,4,95 m2,
458, Küçükçekmece ,1749000,3,115 m2,
459, Arnavutköy ,670000,0 (Yeni),85 m2,
460, Ataşehir ,4350000,21 Ve Üzeri,80 m2,
461, Pendik ,755000,21 Ve Üzeri,120 m2,
462, Silivri ,1590000,0 (Yeni),Sıfır,85 m2
463, Esenyurt ,1579000,0 (Yeni),Sıfır,120 m2
464, Şişli ,1950000,21 Ve Üzeri,90 m2,
465, Esenyurt ,2150000,5-10,İkinci El,100 m2
466, Kadıköy ,5950000,21 Ve Üzeri,İkinci El,120 m2
467, Kadıköy ,7450000,21 Ve Üzeri,125 m2,İkinci El
468, Fatih ,5850000,0 (Yeni),170 m2,
