,district,price,age,newness,squaremeters
3778, Beylikdüzü ,2450000,0 (Yeni),220 m2,
3779, Beylikdüzü ,1700000,0 (Yeni),Sıfır,100 m2
3780, Beylikdüzü ,1700000,0 (Yeni),Sıfır,165 m2
3781, Beylikdüzü ,2399999,0 (Yeni),Sıfır,115 m2
3782, Beylikdüzü ,2865000,0 (Yeni),Sıfır,260 m2
3783, Beylikdüzü ,899000,4,İkinci El,100 m2
3784, Beylikdüzü ,1550000,0 (Yeni),Sıfır,105 m2
3785, Beylikdüzü ,1250000,5-10,Sıfır,70 m2
3786, Beylikdüzü ,22000000,0 (Yeni),Sıfır,450 m2
3787, Güngören ,2200000,21 Ve Üzeri,130 m2,
3788, Esenyurt ,1750000,4,İkinci El,130 m2
3789, Gaziosmanpaşa ,125000000,5-10,85 m2,
3790, Bahçelievler ,1200000,21 Ve Üzeri,İkinci El,100 m2
3791, Küçükçekmece ,780000,21 Ve Üzeri,İkinci El,100 m2
3792, Beylikdüzü ,2039999,0 (Yeni),Sıfır,97 m2
3793, Beylikdüzü ,1699999,0 (Yeni),110 m2,Sıfır
3794, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
3795, Beylikdüzü ,1400000,5-10,Sıfır,100 m2
3796, Beylikdüzü ,899000,4,Sıfır,100 m2
3797, Beylikdüzü ,3389000,4,130 m2,
3798, Bağcılar ,2000000,5-10,İkinci El,120 m2
3799, Beylikdüzü ,1599999,0 (Yeni),Sıfır,105 m2
3800, Beylikdüzü ,499000,0 (Yeni),Sıfır,130 m2
3801, Beylikdüzü ,1149000,0 (Yeni),Sıfır,240 m2
3802, Beylikdüzü ,950000,0 (Yeni),Sıfır,110 m2
3803, Beylikdüzü ,769000,0 (Yeni),Sıfır,105 m2
3804, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
3805, Beylikdüzü ,899000,4,Sıfır,100 m2
3806, Beylikdüzü ,2400000,11-15,İkinci El,145 m2
3807, Beylikdüzü ,2580000,0 (Yeni),140 m2,
3808, Beylikdüzü ,2450000,0 (Yeni),220 m2,
3809, Beylikdüzü ,1700000,0 (Yeni),Sıfır,100 m2
3810, Beylikdüzü ,1700000,0 (Yeni),Sıfır,165 m2
3811, Beylikdüzü ,2399999,0 (Yeni),Sıfır,115 m2
3812, Beylikdüzü ,2865000,0 (Yeni),Sıfır,260 m2
3813, Beylikdüzü ,899000,4,İkinci El,100 m2
3814, Beylikdüzü ,1550000,0 (Yeni),Sıfır,105 m2
3815, Beylikdüzü ,1250000,5-10,Sıfır,70 m2
3816, Beylikdüzü ,22000000,0 (Yeni),Sıfır,450 m2
3817, Güngören ,2200000,21 Ve Üzeri,130 m2,
3818, Esenyurt ,1750000,4,İkinci El,130 m2
3819, Gaziosmanpaşa ,125000000,5-10,85 m2,
3820, Bahçelievler ,1200000,21 Ve Üzeri,İkinci El,100 m2
3821, Küçükçekmece ,780000,21 Ve Üzeri,İkinci El,100 m2
3822, Beylikdüzü ,2039999,0 (Yeni),Sıfır,97 m2
3823, Beylikdüzü ,1699999,0 (Yeni),110 m2,Sıfır
3824, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
